start	end	text
0	22000	So first of all, thank you for giving your time to be consulted.
22000	27000	Oh, by the way po, can you disregard the dual setup here?
27000	30000	Yung computer po dito, wala po siyang webcam.
30000	33000	So I have a separate profile here.
33000	44000	So the purpose of this session is for me to present to you a prototype that uses AI to help designers with their design.
44000	47000	I'll explain the prototype in detail po.
47000	67000	But also, not only I'll be presenting this prototype, you'll have the opportunity to try this out for yourself and for you to give feedback on the prototype in order to improve it and make it more useful for you as a designer.
67000	71000	So with that said, I encourage you to be honest and constructive.
71000	74000	You could say anything that comes into mind.
74000	88000	Please also feel free to ask questions about the prototype and feel free to make any suggestions that would improve it and make it more useful for you as an industrial or interior designer.
88000	92000	Okay, so I'll be sharing my screen po.
92000	95000	Okay, so can you see my screen here?
95000	97000	Yeah, I can see it.
97000	116000	So let's say you're in a design session and you're designing let's say a residential space like a bedroom or furniture for a bedroom and you're showing a 3D rendering in the center here to let's say to your other co-designers or to your client.
116000	124000	And one of their suggestions is to change the material or color of a part of furniture or part of the bedroom here.
124000	132000	So this is a prototype that allows you to change materials in a 3D rendering.
132000	138000	It could suggest materials and it could also provide feedback on the materials used.
138000	143000	So here in the center is the current 3D rendering of the room.
143000	147000	Below here po, you could see the list of saved renderings.
147000	150000	So you could save this and add it to the list.
150000	153000	You can also load it here.
153000	158000	On the right, you'll see here's the rendering information.
158000	163000	It shows all the materials used for each part of an object.
163000	171000	For example, let's say for a bed, it shows what each part is made of like the bed frame or the blanket.
171000	178000	And you could switch with the different objects in the room so you can see what materials they're currently made of.
178000	184000	So I'll explain to you three different functions that this prototype can do.
184000	190000	First, if you look at the left, so here at the left, I'm showing you the generate tab.
190000	195000	So this system first could create image textures on the spot.
195000	201000	So you can type a name of material like let's say oak wood.
202000	214000	And if I press the generate button, it uses artificial intelligence to create the image of the material that you typed in here.
214000	218000	So it takes some time po first.
219000	231000	So after that, it will show four candidates of the image of oak wood that is a texture map po.
231000	239000	And you could continue regenerating the material by pressing this again and it'll keep on refreshing po.
240000	253000	So kapag pinipindot siya kahit ito, for example, itong oak wood, different contents pa rin yung makikita ko kahit pinipindot lang ako na pinipindot ng generate material?
255000	257000	Or mag-iato, mag-iiba siya?
257000	259000	Mag-iiba po yung images po.
259000	269000	So for, do you have any comments po or any questions in mind regarding this?
270000	280000	Siguro in terms of, ako kasi, pag nag-render ako ng wood, very particular ako sa parang sa graining, sa itsura ng graining.
280000	291000	Kasi parang ako personally as a designer, mas prefer ko na parang mas accurate or mas, I'm curious lang din kung pag pinipindot ko ba to, yung scaling?
292000	295000	Or baka mamaya mo pa ba ipapakita?
295000	306000	So kapag pinipindot, for example, yung isang texture na ito, mag-automatic scaling ba siya dun sa parang specific model sa tree?
306000	310000	For example, yung back of the bed frame, parang ganyan?
310000	313000	As of now, hindi po siya automatic.
313000	319000	There's a later stage po where you're the designer, may setting po siya where you could adjust the scaling po.
319000	321000	Makikita po yung mamaya.
321000	323000	Okay.
323000	327000	Okay, so let's say you found something that you're looking for po.
327000	338000	And you can click up to four and then when you proceed, you could select which parts of the bedroom you want to apply the material onto.
338000	350000	So let's say, for example, if you want to change the bed frame to oak or make the floor oak, you have to click on the tabs here.
350000	365000	And then when you apply the textures, malalabas po yung rendering, parang temporary rendering with the material applied po.
365000	368000	Hindi po halata yung difference, but if you look up the bed frame.
368000	370000	Sa baba o yung framing ng bed.
370000	375000	Pati yung floor po na iba po since I chose also the floor.
375000	380000	And at the same time, you could also view the texture.
380000	386000	But you could go back and you could, I'm just showing you if you want to apply different textures po.
386000	390000	So let's say you want to apply these three, you could do it again.
390000	396000	Tapos malalabas po yung three renderings, each with those textures applied.
396000	405000	So you could see what each rendering looks like with the textures na pinili niyo po.
405000	408000	So for example, here.
408000	413000	And it's applied on the parts that you selected here.
413000	415000	So you could also add more.
415000	418000	You could also choose to add different parts here.
418000	420000	And maiiba po siya.
420000	423000	Yung wall panels, yan po yun.
423000	430000	So you can apply it again.
430000	439000	So parang pwede kung lumabas na four textures ng wood, pwede ko siyang iselec ng sabay-sabay.
440000	448000	And then makikita ko na dito sa view yung anong itsura na kapag na render siya on each of the wood.
448000	450000	Yes po, currently.
450000	459000	Tapos regarding your question about scaling, after this, you can only choose one to refine.
459000	461000	Tapos sa susunod na stage po, you could.
461000	464000	So here, ito po yung refinement stage.
465000	469000	So here, in the last step, you could add a finish.
469000	474000	You could add a color finish to the texture.
474000	476000	And you could also adjust the texture map.
476000	482000	So here po, you could change the scaling and also the rotation po.
482000	488000	And also the location based on x, y, and the rotation po here.
488000	494000	So for example, let's say with the floor.
494000	497000	What are your thoughts upon the scaling?
497000	500000	Would it be better kung mas maliliit po yung grain?
500000	502000	Or dapat mas malikip po?
502000	506000	Siguro I think, based na na kita ka dito sa zoom screen na,
506000	513000	siguro mas abit, mas maliit, mas small pa siguro ng kaunti yung scaling na.
513000	514000	Okay.
514000	521000	So in order to do that, my drop down here, it shows the objects po with the material applied.
521000	524000	And then you could select the different part.
524000	526000	Yung sa floor, roll lang po siya.
526000	531000	But let's say for a bed, you have to choose between bed frame or bed board.
531000	533000	But for now, yung bed frame lang po yung napili.
533000	536000	Kaya isang option lang po yung lumabas.
536000	542000	So with the scale, with this, if you want to make it smaller,
542000	546000	ilangan nyo po i-increase yung scale.
546000	551000	Pero yeah, it's still medyo bagi po siya.
551000	555000	Kasi if you want the scale to be smaller, dapat i-decrease nyo po yung scale.
555000	557000	So that will be fixed later.
557000	563000	Pero for now, this is what you do to make the grain smaller in scale.
